"#dig start(16; 17; central 3x3 stairwell) 48 rooms, 4 tiles each (more aesthetic)"
# see an image of this blueprint at: https://i.imgur.com/3pNc0HM.png
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , ,r+,, , , , ,r+,, , , , , , , , , , , ,#
 , , ,r+,, , , , ,r+,, , , , , , , , , , ,r+,, , , , ,r+,, , ,#
 ,r+,, , , , , , , , ,r+,, , , , , , ,r+,, , , , , , , , ,r+,,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 ,r+,, , , , , , , , ,r+,, , , , , , ,r+,, , , , , , , , ,r+,,#
 , , ,r+,, , , , ,r+,, , , , , , , , , , ,r+,, , , , ,r+,, , ,#
 , , , , , , , , , , , ,r+,, , , , ,r+,, , , , , , , , , , , ,#
 , ,r+,, , , , , , ,r+,, , , , , , , , ,r+,, , , , , , ,r+,, ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , ,r+,, , , , , , ,r+,, , , , , , , , ,r+,, , , , , , ,r+,, ,#
 , , , , , , , , , , , ,r+,, , , , ,r+,, , , , , , , , , , , ,#
 , , ,r+,, , , , ,r+,, , , , , , , , , , ,r+,, , , , ,r+,, , ,#
 ,r+,, , , , , , , , ,r+,, , , , , , ,r+,, , , , , , , , ,r+,,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
 ,r+,, , , , , , , , ,r+,, , , , , , ,r+,, , , , , , , , ,r+,,#
 , , ,r+,, , , , ,r+,, , , , , , , , , , ,r+,, , , , ,r+,, , ,#
 , , , , , , , , , , , ,r+,, , , , ,r+,, , , , , , , , , , , ,#
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
